RecordID,Rank,RoadNo,RT_Label,County,FunctionalClassification,DOTLatitude,DOTLongitude,RFMP,RFLatitude,RFLongitude,LSMP,LSLatitude,LSLongitude
1131,1,1110,KY-1110,BREATHITT,Major Collector,37.47863923871030,-83.37969771990620,12.46,37.47863923871030,-83.37969771990620,12.46,37.47863923871030,-83.37969771990620
1111,2,1110,KY-1110,BREATHITT,Major Collector,37.48870923124400,-83.36173357065540,14.65,37.48870923124400,-83.36173357065540,14.65,37.48870923124400,-83.36173357065540
28,3,0315,KY-315,BREATHITT,Minor Collector,37.45325621845990,-83.47995782787810,8.80,37.45325621845990,-83.47995782787810,8.80,37.45325621845990,-83.47995782787810
927,4,0052,KY-52,LEE,Major Collector,37.57048754709270,-83.70084289126930,13.10,37.57048754709270,-83.70084289126930,13.10,37.57048754709270,-83.70084289126930
424,5,0011,KY-11,OWSLEY,Major Collector,37.46579161145940,-83.68346646377470,11.40,37.46357928593180,-83.68433045104440,11.26,37.46579161145940,-83.68346646377470
934,6,0451,KY-451,PERRY,Minor Collector,37.31977381549180,-83.35301199889010,17.66,37.31977381549180,-83.35301199889010,17.66,37.31977381549180,-83.35301199889010
1115,7,0030,KY-30,BREATHITT,Major Collector,37.54697087573930,-83.34422026940640,16.28,37.54760519220560,-83.34510457358070,16.21,37.54697087573930,-83.34422026940640
213,8,0541,KY-541,BREATHITT,Minor Collector,37.60059033340560,-83.47921428942670,8.09,37.60340689383480,-83.42628356492390,5.05,37.60059033340560,-83.47921428942670
1109,9,9000,KY-9000,POWELL,Principal Arterial - Other Freeways and Expressway,37.80830151961700,-83.71123226401750,31.84,37.80830151961700,-83.71123226401750,,N/A,N/A
121,10,1812,KY-1812,BREATHITT,Major Collector,37.55927638021980,-83.36730078312890,3.96,37.56082967850430,-83.36658244982390,3.85,37.55927638021980,-83.36730078312890
809,11,0451,KY-451,PERRY,Major Collector,37.22660394228980,-83.16596404857740,0.21,37.22660394228980,-83.16596404857740,0.21,37.22660394228980,-83.16596404857740
976,12,0080,KY-80,PERRY,Principal Arterial - Other,37.34566746828730,-83.13661937085760,14.38,37.34566746828730,-83.13661937085760,,N/A,N/A
330,13,1165,KY-1165,PERRY,Minor Collector,37.17378850411140,-83.14736825062530,6.98,37.17966386484190,-83.14800431006520,6.55,37.17378850411140,-83.14736825062530
257,14,0541,KY-541,BREATHITT,Minor Collector,37.60231278696820,-83.48146774871100,4.91,37.60201762507240,-83.48121490458100,4.88,37.60231278696820,-83.48146774871100
938,15,3237,KY-3237,BREATHITT,Minor Collector,37.45281816616330,-83.47753704073690,1.90,37.46611780684750,-83.47071614397020,3.00,37.45281816616330,-83.47753704073690
1132,16,0052,KY-52,BREATHITT,Major Collector,37.54845406675320,-83.46096778515300,6.63,37.54845406675320,-83.46096778515300,,N/A,N/A
761,17,0699,KY-699,PERRY,Major Collector,37.07568752384730,-83.10994025798930,7.85,37.08551314215320,-83.10614261789600,6.96,37.07568752384730,-83.10994025798930
258,18,0028,KY-28,OWSLEY,Major Collector,37.44839714480210,-83.64235271516790,2.82 & 1.90,37.44839714480210,-83.64235271516790,,N/A,N/A
378,19,0451,KY-451,PERRY,Major Collector,37.24887829909220,-83.17781425636750,2.75,37.24887829909220,-83.17781425636750,2.75,37.24887829909220,-83.17781425636750
965,20,0089,KY-89,ESTILL,Major Collector,37.60807215380070,-83.96680644017050,,N/A,N/A,2.50,37.60807215380070,-83.96680644017050
930,21,0205,KY-205,BREATHITT,Major Collector,37.59616341465360,-83.42028301550740,3.40,37.59616341465360,-83.42028301550740,,N/A,N/A
617,22,0476,KY-476,PERRY,Major Collector,37.32690742801000,-83.14601427308840,6.70,37.33052851738380,-83.14141659530400,6.30,37.32690742801000,-83.14601427308840
389,23,0851,KY-851,ESTILL,Minor Collector,37.67397399889580,-83.95806392799870,,N/A,N/A,10.38,37.67397399889580,-83.95806392799870
244,24,2019,KY-2019,MAGOFFIN,Major Collector,37.78269389208610,-83.09171507273800,,N/A,N/A,2.15,37.78269389208610,-83.09171507273800
