Road #,County,Project Type,MP,RT_Unique,Tab Code,Latitude,Longitude,PDS,DS,Field Score,DL,DL-ES,ADT(max),ADT-ES,RANK SCORE,Risk Index,Rank,Functional Classification,Detour Length (mi),Exposure Score (MAX%)
451,PERRY,ROCKFALL,0.21,097-KY-0451  -000,451_PER_0.21,37.22660394228980,-83.16596404857740,9,14,510,6,27,1203,9,56.25,399,32,Major Collector,5.7,22.2
1812,BREATHITT,LANDSLIDE,3.85,013-KY-1812  -000,1812_BRE_3.85,37.55927638021980,-83.36730078312890,8,20,636,14,27,1483,9,24.375,396,33,Major Collector,14.16,22.2
205,BREATHITT,ROCKFALL,3.40 & 3.80,013-KY-0205  -000,205_BRE_3.40-3.80,37.59616341465360,-83.42028301550740,10,17,588,11,27,526,9,31.875,388,34,Major Collector,11.42,22.2
476,PERRY,LANDSLIDE,6.3,097-KY-0476  -000,476_PER_6.30,37.32690742801000,-83.14601427308840,12,16,552,8,27,4002,81,40,387,35,Major Collector,8.45,66.7
205,BREATHITT,ROCKFALL,3.4,013-KY-0205  -000,205_BRE_3.40-3.80,37.59616341465360,-83.42028301550740,12,17,588,11,27,526,9,30.625,385,36,Major Collector,11.42,22.2
1110,BREATHITT,ROCKFALL,12.46,013-KY-1110  -000,1110_BRE_12.46,37.47863923871030,-83.37969771990620,15,17,444,34,81,1160,9,71.25,381,37,Major Collector,33.93,55.6
52,LEE,ROCKFALL,19.5,065-KY-0052  -000,52_LEE_19.50,37.56938016439200,-83.70361150587150,9,8,420,26,81,1532,27,79.375,377,38,Major Collector,26.18,66.7
52,LEE,LANDSLIDE,13.1,065-KY-0052  -000,52_LEE_13.10,37.57048754709270,-83.70084289126930,14,18,432,26,81,2117,27,74.375,377,38,Major Collector,25.53,66.7
15,PERRY,ROCKFALL,0.58,097-KY-0015  -000,15_PER_0.58,37.21502464014780,-83.06486083843040,10,17,378,30,81,6773,81,98.75,376,40,Principal Arterial - Other,30.02,100
1110,BREATHITT,ROCKFALL,14.65,013-KY-1110  -000,1110_BRE_14.65,37.48870923124400,-83.36173357065540,15,11,402,18,81,1160,9,86.25,375,41,Major Collector,18.26,55.6
451,PERRY,ROCKFALL,1.4,097-KY-0451  -000,451_PER_1.40,37.23881897909320,-83.17445243453180,9,17,546,5,27,1642,27,36.25,372,42,Major Collector,5.43,33.3
205,BREATHITT,LANDSLIDE,1.04,013-KY-0205  -000,205_BRE_1.04,37.57670413023870,-83.40280161046730,10,11,390,3,9,1733,27,88.125,367,43,Minor Collector,3.45,22.2
1812,BREATHITT,ROCKFALL,8.6,013-KY-1812  -000,1812_BRE_3.96-7.93,37.59858273805980,-83.35401751668890,9,17,546,15,27,424,3,25,342,44,Minor Collector,14.64,18.5
11,POWELL,ROCKFALL,21.3,099-KY-0011  -000,11_POW_21.30,37.86813415901720,-83.93272055740830,10,12,396,19,81,2202,27,71.25,340,45,Minor Arterial,19.05,66.7
1812,BREATHITT,ROCKFALL,3.96,013-KY-1812  -000,1812_BRE_3.96-7.93,37.59858273805980,-83.35401751668890,8,20,546,14,27,424,3,24.375,340,45,Minor Collector,14.64,18.5
437,MORGAN,LANDSLIDE,8.73 & 9.57,088-KY-0437  -000,437_MOR_8.73-9.57,37.92459059087660,-83.05506703366270,11,16,444,17,81,114,3,47.5,328,47,Minor Collector,17.22,51.9
30,MAGOFFIN,LANDSLIDE,2.86,077-KY-0030  -000,30_MAG_2.86,37.65925944797320,-83.14048901076440,11,14,384,54,81,271,3,68.125,323,48,Major Collector,54.11,51.9
7,PERRY,LANDSLIDE,12.38,097-KY-0007  -000,7_PER_12.38,37.13458481609580,-83.07126999475290,10,16,336,38,81,996,9,86.875,314,49,Major Collector,37.9,55.6
7,PERRY,LANDSLIDE,12.38,097-KY-0007  -000,7_PER_12.38,37.13458481609580,-83.07126999475290,8,16,336,38,81,996,9,86.875,314,49,Major Collector,37.9,55.6
28,PERRY,LANDSLIDE,5.43,097-KY-0028  -000,28_PER_5.43,37.34291117468370,-83.44331905424270,10,9,330,20,81,670,9,88.125,311,51,Major Collector,20.27,55.6
1110,BREATHITT,ROCKFALL,5.56,013-KY-1110  -000,1110_BRE_5.56,37.40399369292420,-83.38483429339710,11,9,372,24,81,379,3,66.875,311,51,Major Collector,24.03,51.9
30,BREATHITT,ROCKFALL,16.28,013-KY-0030  -000,30_BRE_16.28,37.54697087573930,-83.34422026940640,13,14,378,58,81,926,9,64.375,311,51,Major Collector,57.74,55.6
3237,BREATHITT,LANDSLIDE,3,013-KY-3237  -000,3237_BRE_1.90,37.45281816616330,-83.47753704073690,13,14,402,22,81,516,9,51.875,306,54,Minor Collector,21.61,55.6
541,BREATHITT,ROCKFALL,8.09,013-KY-0541  -000,541_BRE_8.09,37.60059033340560,-83.47921428942670,13,14,420,20,81,628,9,45.625,306,54,Minor Collector,19.79,55.6
11,WOLFE,ROCKFALL,4.5,119-KY-0011  -000,11_WOL_4.50,37.75667448852660,-83.66623222417610,16,11,318,21,81,2200,27,90,303,56,Minor Arterial,21,66.7
2024,OWSLEY,LANDSLIDE,0.9,095-KY-2024  -000,2024_OWS_0.90-1.00,37.37270388703180,-83.63271031285530,12,14,600,35,81,184,3,0,300,57,Minor Collector,34.59,51.9
315,BREATHITT,LANDSLIDE,8.8,013-KY-0315  -000,315_BRE_8.80,37.45325621845990,-83.47995782787810,11,20,366,22,81,573,9,56.875,288,58,Minor Collector,21.97,55.6
1110,BREATHITT,LANDSLIDE,14.65,013-KY-1110  -000,1110_BRE_14.65,37.48870923124400,-83.36173357065540,15,18,300,18,81,1160,9,85.625,279,59,Major Collector,18.26,55.6
1165,PERRY,LANDSLIDE,6.55,097-KY-1165  -000,1165_PER_6.55,37.17378850411140,-83.14736825062530,11,18,330,9,27,1426,9,66.25,275,60,Minor Collector,8.91,22.2
30,MAGOFFIN,ROCKFALL,0.2,077-KY-0030  -000,30_MAG_0.20,37.65925944797320,-83.14048901076440,11,10,318,54,81,271,3,68.75,269,61,Major Collector,53.58,51.9
11,OWSLEY,LANDSLIDE,11.26,095-KY-0011  -000,11_OWS_11.26,37.46579161145940,-83.68346646377470,15,18,288,8,27,1728,27,76.25,254,62,Major Collector,7.71,33.3
851,ESTILL,LANDSLIDE,10.38,033-KY-0851  -000,851_EST_10.38,37.67397399889580,-83.95806392799870,13,18,318,51,81,990,9,57.5,251,63,Minor Collector,51.18,55.6
1165,PERRY,ROCKFALL,6.98,097-KY-1165  -000,1165_PER_6.55-6.98,37.17378850411140,-83.14736825062530,11,8,294,14,27,1426,9,65.625,244,64,Minor Collector,14.48,22.2
451,PERRY,LANDSLIDE,3.87,097-KY-0451  -000,451_PER_3.87,37.24439189351020,-83.20007444091770,8,18,246,9,27,1716,27,94.375,240,65,Minor Collector,8.91,33.3
451,PERRY,LANDSLIDE,17.66,097-KY-0451  -000,451_PER_17.66,37.31977381549180,-83.35301199889010,10,20,288,26,81,627,9,57.5,227,66,Minor Collector,25.94,55.6
1110,BREATHITT,LANDSLIDE,5.86,013-KY-1110  -000,1110_BRE_5.86,37.40399369292420,-83.38483429339710,11,14,270,24,81,379,3,66.875,226,67,Major Collector,24.03,51.9
541,BREATHITT,ROCKFALL,4.91,013-KY-0541  -000,541_BRE_4.91,37.60231278696820,-83.48146774871100,11,12,306,19,81,628,9,46.875,225,68,Minor Collector,19.23,55.6
30,BREATHITT,LANDSLIDE,30.48,013-KY-0030  -000,30_BRE_30.48,37.58413805506820,-83.21969615963460,8,20,264,58,81,204,3,68.125,222,69,Major Collector,57.66,51.9
2022,PERRY,LANDSLIDE,6.9,097-KY-2022  -000,2022_PER_6.90,37.33435288910300,-83.48742954250470,10,18,294,59,81,277,3,46.875,216,70,Local,59.17,51.9
476,PERRY,ROCKFALL,6.7,097-KY-0476  -000,476_PER_6.70,37.32690742801000,-83.14601427308840,12,5,288,8,27,4002,81,40,202,71,Major Collector,8.45,66.7
11,POWELL,LANDSLIDE,21.3,099-KY-0011  -000,11_POW_21.30,37.86813415901720,-83.93272055740830,10,12,234,19,81,2202,27,71.25,201,72,Minor Arterial,19.05,66.7
89,ESTILL,LANDSLIDE,20.5,033-KY-0089  -000,89_EST_20.50,37.80329299289860,-84.04840439656840,17,12,234,22,81,926,9,66.25,195,73,Major Collector,22,55.6
52,LEE,LANDSLIDE,12.8,065-KY-0052  -000,52_LEE_12.80,37.57048754709270,-83.70084289126930,9,18,222,26,81,2117,27,71.875,191,74,Major Collector,25.53,66.7
1812,BREATHITT,LANDSLIDE,5.51,013-KY-1812  -000,1812_BRE_5.51,37.57666511308470,-83.35820226948120,8,18,84,15,27,0,0,23.75,52,75,Minor Collector,14.64,16.7
