Road #,County,Project Type (REAL),MP,Tab Code,PDS,DS,Field Score,Detour Length (mi),DL-ES,ADT(max),ADT-ES,Exposure Score (MAX%),Risk Index,Rank,Project Type,Latitude,Longitude,Functional Classification
451,PERRY,LANDSLIDE,2.75,451_PER_2.75,9,16,600,5.23,27,3284,27,33.3,200,35,ROCKFALL & LANDSLIDE,37.2488783,-83.17781426,Major Collector
30,MAGOFFIN,LANDSLIDE,2.86,30_MAG_2.86,11,14,384,54.11,81,271,3,51.9,199,36,ROCKFALL & LANDSLIDE,37.65925945,-83.14048901,Major Collector
451,PERRY,ROCKFALL,2.75,451_PER_2.75,9,17,594,5.23,27,3284,27,33.3,198,37,ROCKFALL & LANDSLIDE,37.2488783,-83.17781426,Major Collector
1110,BREATHITT,ROCKFALL,5.56,1110_BRE_5.56,11,9,372,24.03,81,379,3,51.9,193,38,ROCKFALL & LANDSLIDE,37.40198681,-83.38376012,Major Collector
476,PERRY,ROCKFALL,6.7,476_PER_6.70,12,5,288,8.45,27,4002,81,66.7,192,39,ROCKFALL & LANDSLIDE,37.33052852,-83.1414166,Major Collector
7,PERRY,LANDSLIDE,12.38,7_PER_12.38,10,16,336,37.9,81,996,9,55.6,187,40,ROCKFALL & LANDSLIDE,37.13458482,-83.07126999,Major Collector
7,PERRY,LANDSLIDE,12.38,7_PER_12.38,8,16,336,37.9,81,996,9,55.6,187,41,ROCKFALL & LANDSLIDE,37.13458482,-83.07126999,Major Collector
28,PERRY,LANDSLIDE,5.43,28_PER_5.43,10,9,330,20.27,81,670,9,55.6,183,42,ROCKFALL & LANDSLIDE,37.35067811,-83.42307364,Major Collector
451,PERRY,ROCKFALL,1.4,451_PER_1.40,9,17,546,5.43,27,1642,27,33.3,182,43,ROCKFALL,37.23881898,-83.17445243,Major Collector
11,OWSLEY,ROCKFALL,11.4,11_OWS_11.40,15,14,540,7.71,27,1728,27,33.3,180,44,ROCKFALL & LANDSLIDE,37.46357929,-83.68433045,Major Collector
851,ESTILL,LANDSLIDE,10.38,851_EST_10.38,13,18,318,51.18,81,990,9,55.6,177,45,LANDSLIDE,37.673974,-83.95806393,Minor Collector
541,BREATHITT,ROCKFALL,4.91,541_BRE_4.91,11,12,306,19.23,81,628,9,55.6,170,46,ROCKFALL & LANDSLIDE,37.60201763,-83.4812149,Minor Collector
1110,BREATHITT,LANDSLIDE,14.65,1110_BRE_14.65,15,18,300,18.26,81,1160,9,55.6,167,47,ROCKFALL & LANDSLIDE,37.48870923,-83.36173357,Major Collector
30,MAGOFFIN,ROCKFALL,0.2,30_MAG_0.20,11,10,318,53.58,81,271,3,51.9,165,48,ROCKFALL & LANDSLIDE,37.63631645,-83.16467252,Major Collector
451,PERRY,LANDSLIDE,17.66,451_PER_17.66,10,20,288,25.94,81,627,9,55.6,160,49,ROCKFALL & LANDSLIDE,37.31977382,-83.353012,Minor Collector
11,POWELL,LANDSLIDE,21.3,11_POW_21.30,10,12,234,19.05,81,2202,27,66.7,156,50,ROCKFALL & LANDSLIDE,37.86813416,-83.93272056,Minor Arterial
2022,PERRY,LANDSLIDE,6.9,2022_PER_6.90,10,18,294,59.17,81,277,3,51.9,152,51,LANDSLIDE,37.33435289,-83.48742954,Local
1812,BREATHITT,LANDSLIDE,4.20-4.31 & 4.84-5.00,1812_BRE_4.20-4.84,9,18,678,14.76,27,912,9,22.2,151,52,ROCKFALL & LANDSLIDE,37.56429965,-83.36687003,Minor Collector
