RecordID,Rank,RT_Type,RoadNo,RT_Label,County,Functional Classification,DOT Latitude,DOT Longitude,RF MP,RF Latitude,RF Longitude,LS MP,LS Latitude,LS Longitude
1020,38,KY,0015,KY-15,PERRY,Principal Arterial - Other,37.21502464014780,-83.06486083843040,0.58,37.21502464014780,-83.06486083843040,,N/A,N/A
746,39,KY,0451,KY-451,PERRY,Minor Collector,37.33584852354670,-83.35698016007480,,N/A,N/A,19.37,37.33584852354670,-83.35698016007480
698,40,KY,2022,KY-2022,PERRY,Local,37.33435288910300,-83.48742954250470,,N/A,N/A,6.90,37.33435288910300,-83.48742954250470
1128,41,KY,0011,KY-11,WOLFE,Minor Arterial,37.75667448852660,-83.66623222417610,4.50,37.75667448852660,-83.66623222417610,,N/A,N/A
122,42,KY,1571,KY-1571,ESTILL,Major Collector,37.68260124860440,-83.92743969071450,,N/A,N/A,1.30,37.68260124860440,-83.92743969071450
1125,43,KY,0437,KY-437,MORGAN,Minor Collector,37.92459059087660,-83.05506703366270,,N/A,N/A,8.73 & 9.57,37.92459059087660,-83.05506703366270
1114,44,KY,0077,KY-77,MENIFEE,Major Collector,37.84694143759000,-83.64393862724570,,N/A,N/A,1.80 & 1.07 & 1.39,37.84694143759000,-83.64393862724570
571,45,KY,0028,KY-28,PERRY,Major Collector,37.34291117468370,-83.44331905424270,3.69,37.34291117468370,-83.44331905424270,5.43,37.35067811430360,-83.42307364383400
335,46,KY,0011,KY-11,POWELL,Minor Arterial,37.86813415901720,-83.93272055740830,21.30,37.86813415901720,-83.93272055740830,21.30,37.86813415901720,-83.93272055740830
579,47,KY,0451,KY-451,PERRY,Major Collector,37.23881897909320,-83.17445243453180,1.40,37.23881897909320,-83.17445243453180,,N/A,N/A
90,48,KY,1812,KY-1812,BREATHITT,Minor Collector,37.57666511308470,-83.35820226948120,,N/A,N/A,5.51,37.57666511308470,-83.35820226948120
525,49,KY,0030,KY-30,MAGOFFIN,Major Collector,37.65925944797320,-83.14048901076440,0.20,37.63631645267060,-83.16467252064600,2.86,37.65925944797320,-83.14048901076440
